2022,2021,2020,2019,2018,Date,2023,Quality
770846.819,246817.794,268881.759,15499.385,13888.596,2023/04/23,,
771887.206,246987.103,269003.779,15537.343,13908.663,2023/04/24,,
772866.258,247148.231,269116.729,15574.772,13928.169,2023/04/25,,
773781.814,247303.268,269221.439,15612.957,13947.208,2023/04/26,,
774663.194,247453.287,269319.72,15649.976,13965.792,2023/04/27,,
775515.268,247598.817,269413.469,15684.055,13984.076,2023/04/28,,
776360.1,247739.662,269502.947,15715.399,14002.015,2023/04/29,,
777150.63,247876.045,269589.631,15744.396,14020.018,2023/04/30,,
777904.95,248008.158,269675.854,15771.48,14038.646,2023/05/01,,
778646.316,248135.557,269761.571,15797.143,14066.754,2023/05/02,,
779299.529,248259.872,269846.583,15821.785,14115.762,2023/05/03,,
779894.025,248387.004,269928.23,15845.463,14160.105,2023/05/04,,
780441.009,249468.342,270005.05,15868.012,14201.282,2023/05/05,,
780962.438,275440.043,270078.137,15889.383,14235.356,2023/05/06,,
781455.107,337323.779,270148.582,15909.79,14264.124,2023/05/07,,
781905.204,359072.124,270217.08,15929.173,14289.495,2023/05/08,,
782319.888,365427.293,270283.892,15948.16,14312.49,2023/05/09,,
782714.397,369365.869,270348.673,15966.614,14333.786,2023/05/10,,
783154.754,372159.317,270411.049,15984.49,14353.725,2023/05/11,,
784028.138,374589.908,270470.671,16001.158,14372.303,2023/05/12,,
785990.148,376565.558,270527.693,16016.225,14390.754,2023/05/13,,
788133.414,378192.58,270583.335,16029.907,14408.39,2023/05/14,,
789458.319,379570.369,270645.511,16042.371,14424.672,2023/05/15,,
790505.661,380770.885,270706.319,16053.82,14439.691,2023/05/16,,
791382.549,381839.575,270773.004,16064.647,14453.864,2023/05/17,,
792109.659,382793.909,270841.312,16074.719,14467.175,2023/05/18,,
792725.441,383630.551,270906.813,16084.249,14480.044,2023/05/19,,
793261.859,384377.134,270969.02,16093.458,14492.749,2023/05/20,,
793742.761,385047.791,271028.196,16102.102,14504.987,2023/05/21,,
794196.424,385652.786,271086.464,16110.174,14516.619,2023/05/22,,
794674.127,386208.181,271148.927,16117.779,14527.624,2023/05/23,,
795224.923,386727.359,271321.444,16125.031,14537.945,2023/05/24,,
795750.714,387228.288,271548.217,16131.905,14547.631,2023/05/25,,
796259.385,387703.697,271726.577,16138.451,14556.818,2023/05/26,,
796761.836,388136.999,271860.469,16144.477,14565.61,2023/05/27,,
797218.8,388527.623,272052.588,16150.342,14573.843,2023/05/28,,
797821.68,388884.018,272300.523,16155.61,14581.539,2023/05/29,,
798742.818,389213.154,272478.335,16160.73,14588.703,2023/05/30,,
799408.438,389522.789,272620.918,16165.498,14596.478,2023/05/31,,
799976.729,389817.226,272743.393,16169.909,14603.96,2023/06/01,,
800481.403,390099.208,272852.205,16174.045,14610.743,2023/06/02,,
800902.245,390374.784,272950.392,16178.083,14617.141,2023/06/03,,
801280.129,390678.652,273040.589,16197.865,14623.344,2023/06/04,,
801637.851,391014.413,273123.758,16266.936,14629.16,2023/06/05,,
801974.135,391307.108,273201.076,16410.091,14635.631,2023/06/06,,
802282.681,391565.553,273274.198,16515.582,14648.171,2023/06/07,,
802577.646,391804.313,273344.382,16595.922,14663.627,2023/06/08,,
802860.287,392030.998,273412.124,16661.213,14681.299,2023/06/09,,
803130.172,392250.484,273477.843,16714.947,14726.48,2023/06/10,,
803388.615,392531.564,273541.857,16760.234,14773.483,2023/06/11,,
803636.679,392995.087,273604.445,16798.65,14812.126,2023/06/12,,
803875.32,393384.722,273666.022,16831.964,14845.179,2023/06/13,,
804103.735,393691.326,273727.072,16861.468,14875.857,2023/06/14,,
804324.955,393958.084,273787.141,16887.508,14905.09,2023/06/15,,
804540.646,394210.225,273846.123,16911.078,14932.249,2023/06/16,,
804751.037,394513.721,273903.961,16934.05,14957.028,2023/06/17,,
804955.422,395075.387,273960.717,16955.396,14979.591,2023/06/18,,
805153.833,395595.843,274015.605,16975.198,15000.538,2023/06/19,,
805346.594,396143.117,274068.619,16993.882,15020.506,2023/06/20,,
805541.01,396553.319,274119.861,17012.25,15040.038,2023/06/21,,
805744.435,396916.389,274171.059,17030.446,15058.569,2023/06/22,,
805944.808,397293.999,274221.943,17049.223,15076.779,2023/06/23,,
806136.335,397633.842,274272.766,17073.744,15099.863,2023/06/24,,
806319.667,397951.598,274323.643,17101.273,15126.775,2023/06/25,,
806496.436,398300.811,274373.802,17253.968,15153.866,2023/06/26,,
806666.432,398605.349,274423.139,17397.067,15179.25,2023/06/27,,
806830.307,398867.496,274470.994,17502.271,15202.529,2023/06/28,,
806987.639,399105.372,274517.03,17587.353,15225.581,2023/06/29,,
807140.188,399332.613,274562.042,17660.582,15249.936,2023/06/30,,
807292.216,399556.242,274606.116,17724.607,15273.351,2023/07/01,,
807584.911,399783.849,274649.114,17780.484,15295.929,2023/07/02,,
820712.68,400006.417,274691.251,17829.488,15318.928,2023/07/03,,
832399.609,400216.341,274732.676,17874.414,15343.024,2023/07/04,,
846290.798,400410.907,274773.368,17916.261,15367.313,2023/07/05,,
851633.86,400591.281,274812.616,17956.067,15390.161,2023/07/06,,
854834.538,400761.603,274850.777,18023.506,15411.116,2023/07/07,,
858859.269,400923.94,274887.892,18118.121,15430.592,2023/07/08,,
861284.73,401080.44,274924.365,18201.722,15448.613,2023/07/09,,
863115.965,401233.964,274960.298,18273.9,15465.357,2023/07/10,,
865451.412,401384.386,274995.703,18339.122,15480.653,2023/07/11,,
867613.211,401531.681,275030.778,18395.751,15494.812,2023/07/12,,
869258.172,401675.73,275066.214,18444.386,15507.951,2023/07/13,,
870649.716,401816.107,275106.967,18486.619,15520.611,2023/07/14,,
871860.819,401951.477,275156.414,18523.861,15532.294,2023/07/15,,
872931.549,402081.418,275311.221,18556.829,15543.136,2023/07/16,,
873895.802,402206.234,275540.204,18586.082,15553.116,2023/07/17,,
874739.67,402324.666,275695.077,18612.218,15561.942,2023/07/18,,
875484.163,402437.88,275808.344,18635.933,15570.105,2023/07/19,,
876155.647,402546.915,275900.031,18657.511,15577.649,2023/07/20,,
876790.799,402652.492,275980.25,18677.117,15584.178,2023/07/21,,
878230.894,402754.186,276051.997,18695.33,15590.175,2023/07/22,,
880495.652,402853.054,276117.043,18711.354,15595.712,2023/07/23,,
882225.281,402950.514,276176.767,18725.815,15600.697,2023/07/24,,
883572.406,403045.773,276232.728,18738.47,15605.014,2023/07/25,,
884718.862,403138.368,276285.874,18749.472,15609.068,2023/07/26,,
885765.981,403228.939,276578.171,18759.106,15612.974,2023/07/27,,
886734.331,403317.175,328110.894,18767.886,15616.603,2023/07/28,,
887554.598,403403.05,393154.478,18775.733,15619.989,2023/07/29,,
888326.287,403485.768,403606.144,18783.026,15623.083,2023/07/30,,
889005.05,403566.564,407779.738,18789.93,15626.02,2023/07/31,,
889613.142,403647.477,410331.707,18796.427,15628.671,2023/08/01,,
890178.021,403728.709,412159.041,18802.54,15631.11,2023/08/02,,
890703.391,403809.242,413573.658,18808.363,15633.46,2023/08/03,,
891182.921,403890.229,414736.521,18814.036,15635.676,2023/08/04,,
891701.751,403969.495,415721.423,18819.505,15637.794,2023/08/05,,
893509.317,404047.143,416516.248,18824.876,15639.96,2023/08/06,,
894843.689,404122.301,417171.974,18830.077,15641.989,2023/08/07,,
895875.66,404195.709,417743.77,18834.895,15643.91,2023/08/08,,
896712.625,404267.78,436838.398,18839.355,15645.808,2023/08/09,,
897418.756,404339.03,569036.983,18843.619,15647.685,2023/08/10,,
898040.156,404410.095,627187.437,18847.516,15649.474,2023/08/11,,
